"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Lojinha API","0","Produto","7","0","Atualização","0"
"0","Lojinha API","0","Componente","3","0","Remoção","0"
"0","Lojinha API","0","Usuário","4","0","Criação","0"
"0","Lojinha API","0","Componente","2","0","Busca","0"
"0","Lojinha API","0","Componente","6","0","Adição","0"
"0","Lojinha API","0","Componente","5","0","Atualização","0"
"0","Lojinha API","0","Produto","7","0","Criação","0"
"0","Lojinha API","0","Usuário","3","0","Login","0"
"0","Lojinha API","0","Produto","5","0","Busca","0"
"0","Lojinha API","0","Produto","2","0","Remoção","0"
"0","Lojinha API","0","Usuário","1","0","Remoção de Dados","0"
